Primary1,Confirmation1,Tertiary1,Primary2,Confirmation2,Tertiary2
[192 HITS]<br>,[187 HITS]<br>,,[192 HITS]<br>,[187 HITS]<br>,
1-A2,1-B21,1-B7,4-K20,4-K7,4-M3
1-B21,1-B7,1-C17,4-K7,4-M3,4-O11
1-B3,1-C13,1-C6,4-M24,4-N1,4-O23
1-B7,1-C17,1-D11,4-M3,4-O11,4-P3
1-C1,1-C23,1-D5,4-M6,4-O21,5-A17
1-C13,1-C6,1-E10,4-N1,4-O23,5-A5
1-C16,1-C8,1-E15,4-N4,4-P12,5-A8
1-C17,1-D11,1-E16,4-O11,4-P3,5-B13
1-C20,1-D24,1-E2,4-O20,4-P9,5-B20
1-C23,1-D5,1-E24,4-O21,5-A17,5-B7
1-C6,1-E10,1-F17,4-O23,5-A5,5-C10
1-C8,1-E15,1-F19,4-P12,5-A8,5-C14
1-D11,1-E16,1-F2,4-P3,5-B13,5-C4
1-D24,1-E2,1-G1,4-P9,5-B20,5-D15
1-D5,1-E24,1-G10,5-A17,5-B7,5-D24
1-E10,1-F17,1-G4,5-A5,5-C10,5-E12
1-E15,1-F19,1-H10,5-A8,5-C14,5-E18
1-E16,1-F2,1-H15,5-B13,5-C4,5-E7
1-E2,1-G1,1-H18,5-B20,5-D15,5-F4
1-E24,1-G10,1-H24,5-B7,5-D24,5-G19
1-F17,1-G4,1-H5,5-C10,5-E12,5-G5
1-F19,1-H10,1-H6,5-C14,5-E18,5-H14
1-F2,1-H15,1-H9,5-C4,5-E7,5-H21
1-G1,1-H18,1-I11,5-D15,5-F4,5-H3
1-G10,1-H24,1-I16,5-D24,5-G19,5-H4
1-G4,1-H5,1-I21,5-E12,5-G5,5-I5
1-H10,1-H6,1-I5,5-E18,5-H14,5-I9
1-H15,1-H9,1-I9,5-E7,5-H21,5-J14
1-H18,1-I11,1-J10,5-F4,5-H3,5-J21
1-H24,1-I16,1-J13,5-G19,5-H4,5-J23
1-H5,1-I21,1-J22,5-G5,5-I5,5-J3
1-H6,1-I5,1-J24,5-H14,5-I9,5-J6
1-H9,1-I9,1-J9,5-H21,5-J14,5-K22
1-I11,1-J10,1-K16,5-H3,5-J21,5-K8
1-I16,1-J13,1-K22,5-H4,5-J23,5-L20
1-I21,1-J22,1-K23,5-I5,5-J3,5-L21
1-I5,1-J24,1-K24,5-I9,5-J6,5-L22
1-I9,1-J9,1-K9,5-J14,5-K22,5-L4
1-J10,1-K16,1-L20,5-J21,5-K8,5-L8
1-J13,1-K22,1-L5,5-J23,5-L20,5-M11
1-J22,1-K23,1-M21,5-J3,5-L21,5-M17
1-J24,1-K24,1-M24,5-J6,5-L22,5-N10
1-J9,1-K9,1-M4,5-K22,5-L4,5-N14
1-K16,1-L20,1-N19,5-K8,5-L8,5-N20
1-K22,1-L5,1-N20,5-L20,5-M11,5-N24
1-K23,1-M21,1-N3,5-L21,5-M17,5-N5
1-K24,1-M24,1-O23,5-L22,5-N10,5-N9
1-K9,1-M4,1-O9,5-L4,5-N14,5-O9
1-L20,1-N19,1-P13,5-L8,5-N20,5-P10
1-L5,1-N20,1-P18,5-M11,5-N24,5-P23
1-M21,1-N3,1-P19,5-M17,5-N5,5-P5
1-M24,1-O23,1-P7,5-N10,5-N9,6-A16
1-M4,1-O9,1-P8,5-N14,5-O9,6-A2
1-N19,1-P13,2-A13,5-N20,5-P10,6-A3
1-N20,1-P18,2-A20,5-N24,5-P23,6-D4
1-N3,1-P19,2-A23,5-N5,5-P5,6-E22
1-O23,1-P7,2-A8,5-N9,6-A16,6-F23
1-O9,1-P8,2-B1,5-O9,6-A2,6-F24
1-P13,2-A13,2-B12,5-P10,6-A3,6-G3
1-P18,2-A20,2-B3,5-P23,6-D4,6-G9
1-P19,2-A23,2-B4,5-P5,6-E22,6-H13
1-P7,2-A8,2-C13,6-A16,6-F23,6-I12
1-P8,2-B1,2-C20,6-A2,6-F24,6-I7
2-A13,2-B12,2-D13,6-A3,6-G3,6-J17
2-A20,2-B3,2-D16,6-D4,6-G9,6-J21
2-A23,2-B4,2-E12,6-E22,6-H13,6-J9
2-A8,2-C13,2-E13,6-F23,6-I12,6-M10
2-B1,2-C20,2-E2,6-F24,6-I7,6-M14
2-B12,2-D13,2-E21,6-G3,6-J17,6-P11
2-B3,2-D16,2-E5,6-G9,6-J21,6-P14
2-B4,2-E12,2-E6,6-H13,6-J9,6-P2
2-C13,2-E13,2-E9,6-I12,6-M10,7-A1
2-C20,2-E2,2-F10,6-I7,6-M14,7-A13
2-D13,2-E21,2-F11,6-J17,6-P11,7-A14
2-D16,2-E5,2-F2,6-J21,6-P14,7-A18
2-E12,2-E6,2-F24,6-J9,6-P2,7-A9
2-E13,2-E9,2-G11,6-M10,7-A1,7-B16
2-E2,2-F10,2-G16,6-M14,7-A13,7-B6
2-E21,2-F11,2-G3,6-P11,7-A14,7-C13
2-E5,2-F2,2-H12,6-P14,7-A18,7-C2
2-E6,2-F24,2-H14,6-P2,7-A9,7-C6
2-E9,2-G11,2-H15,7-A1,7-B16,7-D15
2-F10,2-G16,2-H5,7-A13,7-B6,7-D23
2-F11,2-G3,2-I16,7-A14,7-C13,7-E14
2-F2,2-H12,2-I22,7-A18,7-C2,7-E2
2-F24,2-H14,2-I6,7-A9,7-C6,7-F1
2-G11,2-H15,2-J17,7-B16,7-D15,7-F19
2-G16,2-H5,2-J23,7-B6,7-D23,7-G10
2-G3,2-I16,2-K10,7-C13,7-E14,7-G12
2-H12,2-I22,2-K3,7-C2,7-E2,7-G13
2-H14,2-I6,2-L1,7-C6,7-F1,7-G18
2-H15,2-J17,2-L11,7-D15,7-F19,7-G22
2-H5,2-J23,2-L23,7-D23,7-G10,7-H3
2-I16,2-K10,2-L3,7-E14,7-G12,7-I20
2-I22,2-K3,2-M10,7-E2,7-G13,7-I8
2-I6,2-L1,2-M18,7-F1,7-G18,7-K13
2-J17,2-L11,2-M24,7-F19,7-G22,7-K14
2-J23,2-L23,2-M3,7-G10,7-H3,7-L18
2-K10,2-L3,2-M4,7-G12,7-I20,7-L6
2-K3,2-M10,2-M5,7-G13,7-I8,7-M10
2-L1,2-M18,2-M7,7-G18,7-K13,7-M18
2-L11,2-M24,2-N6,7-G22,7-K14,7-M3
2-L23,2-M3,2-N7,7-H3,7-L18,7-N10
2-L3,2-M4,2-O14,7-I20,7-L6,7-N13
2-M10,2-M5,2-O2,7-I8,7-M10,7-N5
2-M18,2-M7,2-O21,7-K13,7-M18,7-O15
2-M24,2-N6,2-P12,7-K14,7-M3,7-O6
2-M3,2-N7,3-A6,7-L18,7-N10,8-A14
2-M4,2-O14,3-B16,7-L6,7-N13,8-A16
2-M5,2-O2,3-B23,7-M10,7-N5,8-A22
2-M7,2-O21,3-B8,7-M18,7-O15,8-B5
2-N6,2-P12,3-C13,7-M3,7-O6,8-C11
2-N7,3-A6,3-C17,7-N10,8-A14,8-C12
2-O14,3-B16,3-C18,7-N13,8-A16,8-C15
2-O2,3-B23,3-C20,7-N5,8-A22,8-C16
2-O21,3-B8,3-C5,7-O15,8-B5,8-D1
2-P12,3-C13,3-D10,7-O6,8-C11,8-D22
3-A6,3-C17,3-D12,8-A14,8-C12,8-D8
3-B16,3-C18,3-D19,8-A16,8-C15,8-E13
3-B23,3-C20,3-D23,8-A22,8-C16,8-H24
3-B8,3-C5,3-D8,8-B5,8-D1,8-H4
3-C13,3-D10,3-E11,8-C11,8-D22,8-H9
3-C17,3-D12,3-E16,8-C12,8-D8,8-I6
3-C18,3-D19,3-E8,8-C15,8-E13,8-J15
3-C20,3-D23,3-F15,8-C16,8-H24,8-J19
3-C5,3-D8,3-F20,8-D1,8-H4,8-K15
3-D10,3-E11,3-F9,8-D22,8-H9,8-K19
3-D12,3-E16,3-G13,8-D8,8-I6,8-K22
3-D19,3-E8,3-G15,8-E13,8-J15,8-L18
3-D23,3-F15,3-G24,8-H24,8-J19,8-O12
3-D8,3-F20,3-H13,8-H4,8-K15,8-O17
3-E11,3-F9,3-H16,8-H9,8-K19,8-P24
3-E16,3-G13,3-H21,8-I6,8-K22,8-P7
3-E8,3-G15,3-I20,8-J15,8-L18,9-B12
3-F15,3-G24,3-I3,8-J19,8-O12,9-B24
3-F20,3-H13,3-I5,8-K15,8-O17,9-C13
3-F9,3-H16,3-I9,8-K19,8-P24,9-C18
3-G13,3-H21,3-J15,8-K22,8-P7,9-C19
3-G15,3-I20,3-J19,8-L18,9-B12,9-C5
3-G24,3-I3,3-J6,8-O12,9-B24,9-D13
3-H13,3-I5,3-K14,8-O17,9-C13,9-D19
3-H16,3-I9,3-K16,8-P24,9-C18,9-E19
3-H21,3-J15,3-K18,8-P7,9-C19,9-F14
3-I20,3-J19,3-K20,9-B12,9-C5,9-F19
3-I3,3-J6,3-K21,9-B24,9-D13,9-G11
3-I5,3-K14,3-K3,9-C13,9-D19,9-G21
3-I9,3-K16,3-K8,9-C18,9-E19,9-H1
3-J15,3-K18,3-L1,9-C19,9-F14,9-H22
3-J19,3-K20,3-L12,9-C5,9-F19,9-H8
3-J6,3-K21,3-L19,9-D13,9-G11,9-I10
3-K14,3-K3,3-L3,9-D19,9-G21,9-J18
3-K16,3-K8,3-M16,9-E19,9-H1,9-K11
3-K18,3-L1,3-M2,9-F14,9-H22,9-K14
3-K20,3-L12,3-M23,9-F19,9-H8,9-L1
3-K21,3-L19,3-M7,9-G11,9-I10,9-L10
3-K3,3-L3,3-M8,9-G21,9-J18,9-M13
3-K8,3-M16,3-N4,9-H1,9-K11,9-M2
3-L1,3-M2,3-N8,9-H22,9-K14,9-M6
3-L12,3-M23,3-O12,9-H8,9-L1,9-N19
3-L19,3-M7,3-O14,9-I10,9-L10,9-N21
3-L3,3-M8,3-O20,9-J18,9-M13,9-N3
3-M16,3-N4,3-P11,9-K11,9-M2,9-O12
3-M2,3-N8,3-P9,9-K14,9-M6,9-O22
3-M23,3-O12,4-A12,9-L1,9-N19,10-A15
3-M7,3-O14,4-A2,9-L10,9-N21,10-B24
3-M8,3-O20,4-A23,9-M13,9-N3,10-C7
3-N4,3-P11,4-B1,9-M2,9-O12,10-D10
3-N8,3-P9,4-B15,9-M6,9-O22,10-D18
3-O12,4-A12,4-C16,9-N19,10-A15,10-D3
3-O14,4-A2,4-C21,9-N21,10-B24,10-F21
3-O20,4-A23,4-D21,9-N3,10-C7,10-G20
3-P11,4-B1,4-D7,9-O12,10-D10,10-H8
3-P9,4-B15,4-E10,9-O22,10-D18,10-J18
4-A12,4-C16,4-E18,10-A15,10-D3,10-J21
4-A2,4-C21,4-E3,10-B24,10-F21,10-K3
4-A23,4-D21,4-F13,10-C7,10-G20,10-K8
4-B1,4-D7,4-G24,10-D10,10-H8,10-L12
4-B15,4-E10,4-G7,10-D18,10-J18,10-M11
4-C16,4-E18,4-H3,10-D3,10-J21,10-N18
4-C21,4-E3,4-H7,10-F21,10-K3,10-N6
4-D21,4-F13,4-I13,10-G20,10-K8,10-O22
4-D7,4-G24,4-K14,10-H8,10-L12,10-O4
4-E10,4-G7,,10-J18,10-M11,
4-E18,4-H3,,10-J21,10-N18,
4-E3,4-H7,,10-K3,10-N6,
4-F13,4-I13,,10-K8,10-O22,
4-G24,4-K14,,10-L12,10-O4,
4-G7,,,10-M11,,
4-H3,,,10-N18,,
4-H7,,,10-N6,,
4-I13,,,10-O22,,
4-K14,,,10-O4,,
